class,text
Neg, there is a scene early in jakob the liar that hints at how much better it could have been    the scene is set in a jewish ghetto in poland circa 1944   where a one time cafe proprietor named jakob heym is walking resolutely through the streets   fists stuffed into coat pockets    to one side of him   residents scavenge for food in the street   to the other side   german troops beat a group of jews    jakob   however   never stops moving    it s an efficient   effective set up for the character   who is clearly nobody s idea of a hero at the outset    he is a man who has responded to the horror of his surroundings by withdrawing from them   excising his moral peripheral vision    the set up is critical because fate will turn jakob into a reluctant savior    after a visit to a german commandant s office and a moment alone with a turned on radio   jakob learns that russian troops are quite near    when he brings this first news of the war in years to his fellow jews   they become convinced that he must have a radio   which is a punishable offense in the ghetto    the good news brings hope to the ghetto   the everyday specter of suicide vanishes    a private man of limited creativity finds himself burdened with creating stories of russian military progress just to keep his neighbors alive    this promising story of an ordinary person doing the extraordinary is burdened from the outset by casting   the   ordinary person   in question   jakob heym   is played by robin williams    i am of the depressing opinion that williams is growing less assured as an actor in his   serious   roles with every passing year    compare his dramatic scenes in the world according to garp and moscow on the hudson with what dreams may come or patch adams   and see how much more mannered he has become   or   at the very least   how much less sensible at choosing material      jakob the liar depends on the notion that jakob has to struggle to craft his fictions   but williams always looks like he s struggling  not  to craft them    when he improvises a radio address by winston churchill for ailing 10 year old orphan lina   hannah taylor gordon     he seems relieved that he can finally get wacky    oh yes   and then there s that little girl    some viewers will undoubtedly consider the hero s fanciful stories for a young charge too reminiscent of life is beautiful   but those scenes aren t problematic because they re familiar    they re problematic because they re jarring and distracting   introducing a cutesy relationship into a film that shouldn t have been about cutesy relationships    jakob s character arc may be about his willingness to act for the benefit of others   but there are plenty of others without poor little lina    every scene with her feels contrived   pulling jakob the liar away from its central story of hope coming to a previously hopeless people    it is a pleasant surprise to find that jakob the liar is a much grittier production than you might expect from a hollywood ized holocaust   combining the weighty subject matter with dark humor in some effective ways    director peter kassovitz   working from jurek becker s novel   crafts some nice scenes between jakob and the other townspeople   and draws solid performances from armin mueller stahl   as a once revered doctor   and bob balaban   as a barber drifting into depression      there are just too many things going on that prove distracting   whether it s the sketchy romanctic angle involving liev schreiber as an earnest former prizefighter   or williams  incongrous presence   or a sweet but utterly irrelevant little girl    jakob the liar deals with too delicate a subject for such fumbling   and has too compelling a central character to waste    and after one wonderful early scene   you can see the film wasted and fumbled away    
Pos, this remake of   la cage aux folles   features a gay couple pretending to be straight in order to pull the wool over the eyes of their son s future in laws    the couple   robin williams and nathan lane   are about as archetypal   or as the less kind might put it   stereotypical   gays possible    williams owns a nightclub featuring drag queens where his partner performs as the featured star    they live above the club in what could not possibly be mistaken as a heterosexual abode    williams is excellent as should be no surprise    gene hackman as right wing potential father in law is refreshing in one of his few comedic roles    the real star is lane    his attempted transformation from one of the most obviously gay men in the world to the straight shooting uncle is hilarious    perhaps it is a personal failing on my part   but the crying and screaming drag queen faux high drama just grates on my nerves and the first few minutes of this film are filled with it    luckily   for me at least     it doesn t last long and the rest of the story focuses on the relationship between the men   their son and the deception    the question of stereotypes is a touchy one    these guys personify the homophobic gay image    you can almost hear the swishing    if you think that they are supposed to be representative of every gay man in the world   you ll be outraged    but if you can accept the view is that this is a movie about gay individuals   you ll love it    your choice    
Pos, whenever studio executives try to combine the successful formula of two blockbuster films   the end result is always a mess of a script   acting   directing   and generally a waste of time for any audience with an average iq above 40    the latest movie morass from hollywood   the crew   appeared equally destined to fail   a strange combination of grumpy old men and goodfellas tossed together with the likes of richard dreyfuss and burt reynolds helming the ship    the scary thing is that it s actually entertaining and a breath of fresh air in this otherwise stale month    the crew works for several reasons    the clever script is reminiscent of an old billy wilder movie   following four   past their prime   wiseguys from jersey who now live in the raj mahal apartment house in miami beach    the wiseguys find themselves being evicted from their   golden paradise   by greedy landlords bent on raising rents for new beach bunnies and boys looking for beachfront property    the four mobsters   bobby bartellemeo   richard dreyfuss     joey   bats   pistella   burt reynolds     mike   the brick   donatelli   dan hedaya     and tony   mouth   donato   seymour cassel   decide to hatch a scheme to plant there a dead body heisted from the morgue in order to drive out the new tenants and keep their home    this   simple plan   suddenly goes screwy   of course   and the boys become involved with a stripper named ferris   jennifer tilly   who wants her stepmother killed   a paranoid latin drug lord who s convinced a mysterious rival is out to get him   and a rat with its tail on fire    the crew works as a strong comedic vehicle driven by a great ensemble cast of talented character actors and subtle leading men    instead of concentrating on bobby s search for his daughter   the film gives equal screen time to all four wiseguys   balancing the production    the acting talents of such screen veterans as dan hedaya   seymour cassel   and the great   great burt reynolds are brought out by each character s uniqueness and synergy within the wiseguy circle    a strong supporting cast including jeremy piven as a philandering boyfriend/cop/partner and miguel sandoval as the paranoid drug lord provide the most laughs    the film was produced by barry sonnenfeld and carries a hint get shorty with its energetic camera work by michael dinner   emmy award winning director of the wonder years    the quick script written by barry fanaro   screenwriter of kingpin   is carried by plenty of subtly dry humor and wit    the crew is a prime example of how simple and dry witted a comedy can get these days    the great thing is that this comedy does not need to be punctuated by bodily fluids   phallus symbols in the head   or grandmothers giving head in a spa    in the steady flow of   extreme   comedy these days flowing from hollywood like a broken water main   it s the elder statesmen like dreyfuss   reynolds   and hedaya that can carry a comic arc with only a few weapons of choice   a decent script and good acting    
Pos,    it s not good to know too much about someone   charlie     charles warns his niece   charlie   margaret welsh     with a devilish grin    charlie is infatuated with her namesake uncle   her   soul mate   as she calls him since her mother gave her his name    there s a lot to know about charles   not the least of which is that he strangled 3 widows back east    mark harmon   who looks like anything but a killer but specializes in playing them   plays charles   the merry widow murderer in the 1991 hallmark hall of fame remake of the 1943 hitchcock film   shadow of a doubt    and to avoid any questions about his guilt   we see charles in action in the opening scene with his last victim    the story takes place in the early 1950s in the small town of petaluma   california   where charles heads to avoid the police    john gay s script uses most of the original screenplay by sally benson   alma reville   and thornton wilder    karen arthur s direction is certainly no match for the great master   but on an absolute scale   the movie maintains a high level of suspense    when supercilious and deceitful charles comes to pay a visit of indeterminate length with his sister and her family in petaluma   they don t know about his nefarious activities    he showers them with elaborate gifts to buy the love they had already given him anyway    two mysterious and exceedingly clean cut writers for a magazine show up to take pictures of the family for a spread on the   average american family     but their interest is focused on uncle charles   especially on taking his picture and learning about his background    charlie   who first welcomed her uncle s visit   begins to feel more and more uncomfortable with him and suspicious of the disingenuous magazine reporters    the picture advances with a delicate power using small details such as the newspaper article that the uncle tries secretly to remove and that charlie discovers    the beauty of the story is the pas de deux between uncle and niece as they try to out psych each other    she wants him to leave   and he doesn t want to go   what with a local   rich widow as a prospective victim    will charles kill charlie first   or will she get him out of town    harmon is wonderfully creepy and smug   and welsh is tough but trapped    with a deft touch the director sets up each scene   several with thunderstorms   and tom neuwirth s sepia toned cinematography makes the movie feel as if it were filmed in the 50s    my only quibble is the director s awkward staging of the final scene on the train    is hitchcock s version better    of course    is this one worth watching as well    actually   yes    shadow of a doubt runs 1   40    it is not rated but would be pg for adult themes and would be fine for kids around nine and up    
Neg,    showgirls   is the first big budget   big studio film to receive an nc 17 rating    and its release last year came at a time when senator bob dole and other politicans chastised the entertainment industry for promoting sex and violence    but if   showgirls   is any indication of hollywood s future   the folks in washington should focus their attack on a more dangerous threat to american values  bad moviemaking       showgirls   is a relentlessly exploitive look at the las vegas strip scene   and the film turns out to be just as trashy as its subject matter    director paul verhoeven and writer joe eszterhas   who collaborated on another shock value project   1992 s   basic instinct     follow the plight of a young woman   teen tv star elizabeth berkley   determined to make a name for herself as a topless dancer    it s a hackneyed premise to begin with   so not surprisingly   all of the stock characters are trucked out    there s the demanding producer    the loyal friend    the bitchy competitor    lest i forget the scummy club owner    of course   any attempt at character development or a coherent storyline is just window dressing for the film s main attraction  an endless parade of full frontal nudity    unfortunately     showgirls   doesn t satisfy in this department    verhoeven s slam bang   in your face style of direction proves neither arousing nor erotic    to make matters worse   you ll be forced to sit through the movie s clothed scenes   which don t cover up for laughable acting and some of the most absurd dialogue ever spoken in film history    verhoeven and ezsterhas deserve credit for trying to break ground   but if it s adult entertainment you want   stay home and watch the playboy channel    you ll be the wiser for it    
Neg,    you can t have any of this    it s all mine !        a twisted priest   charles huevelman   hordes his tasty fried chicken while dana   angela zimmerly   looks on uninterested    an evil presence   appropriately named the presence   dj vivona     rules over an alternate dimension where neither angels nor demons can touch him    for kicks   the presence likes to trick a human into rounding up five of his or her friends so they can all be sent to his dimension and be systematically slaughtered    when something goes wrong and one of the presence s recent victims escapes   the angels and demons are alerted to his existence and feel he is a threat that needs to be stopped    they enlist the help of alison   ramona midgett     a recent suicide victim   to return to the flesh and follow the six new enlistees through the ice wall that surrounds the the nether realm    her mission is to melt away the ice barrier and allow the angels and demons access by reminding the presence of who he once was   an ancient court jester named abraham who lost his job when his king and queen were killed    the king s sorcerer   amblyn   who also lost his job     decided to take abraham under his wing as an apprentice    during the downtime in his unemployment   amblyn decided to create a new dimension where sorcery   evil   and torture ruled    abraham wished to follow his master into this new realm   so he was asked to show his devotion to the evil wizard by murdering his one true love    in this new realm   amblyn would allow abraham to pursue the sport of hunting and destroying the humans that would be brought to this realm    after each murder   abraham would become stronger   until his power surpassed that of amblyn s    because of the screw up that allowed the recent escape   abraham was able to destroy his master and take control of the realm himself    as alison quests to find abraham and show him the errors of his ways   the six new hapless humans are allowed to live out their worst nightmares and then be brutally murdered    if there s one thing i can t stand when i see a film   it s when the film is pretentious and arty just for the sake of being pretentious and arty    films like eraserhead and begotten are two of the worst examples of this   and now ice from the sun can be added to this list    this film is essentially an 80 minute stalk and slash film   following the dante s inferno idea that your hell corresponds to how you lived your life or any one of the plots to nightmare on elm street 3 through 6   intercut with almost 40 minutes of strange and   supposedly   haunting images   many of which serve more to confuse than to further the plot    if there aren t bizarre images floating past the screen   then we get pointless shots of a suicidal alison staring at her breakfast for minutes at a time or contemplating whether or not she should answer her phone    compelling   but ultimately not    the opening credits sequence is designed like a music video for some unknown industrial band featuring various random images from the film interspersed with other random images    the credits run the entire length of the song which is almost five minutes and the actual cast listing and other credit information doesn t pop up until near the end of the sequence    when the opening credits began i thought my vcr had accidentally cut off and a interstitial from mtv2 had found its way to my tv    at least the music in the film is pretty decent   made up of mostly industrial and hard rock music and even features a song by ramona midgett    at the beginning of the film it is established that the presence possesses supernatural powers like shooting bullets out of the palms of his hands and decapitating people by waving his hand in front of them   and he talks like a darth vader clone without the heavy breathing      for some reason though   he delegates all of his main stalkings to what seems like the supporting cast of deliverance    one over alled cretin handles the presence s gravedigging and likes to chop peoples heads off with his shovel   then there s an inbred father   dwight spurgin   and his two inbred children   mark kettler and jennifer poirrier wallace   that take care of a young woman who has been transformed into a half dog half human mix with a shotgun   and of course a big truck driving guy that likes to tie people up naked to the back of his vehicle and drag them across stone roads before pouring salt all over their wounds    why would you want to give responsibilities to a bunch of   rednecks   when you yourself had all of these cool powers    and how is it that the fellow that screws over all of his buddies is able to round up exactly five friends to complete the number of people required to enter the realm at exactly the same time    i can barely get more than two together all at once at any given moment    the most ridiculous segment though comes right before the aforementioned dragging/salting sequence    the character in question   dana   angela zimmely     has her turn up to be killed and is standing at the front of a movie theater in which the presence is seated    a priest holding two naked dirty humans on leashes walks in and sits down next to a large platter of fried chicken    he picks up the entire platter and starts to enjoy the chicken   taunting dana as she looks on with no interest whatsoever    when she starts to leave   the priest chides her for going before the performance starts and then something that looks like a either a creature from a gwar show or a terry gilliam animation from monty python come to life   walks out   and makes like it wants to be crucified by her    the presence starts to clap annoyingly   which continues for the rest of the sequence   until dana takes off with the strange creature following her    when it finally catches up to her   she stabs it in its giant eyeball and is covered in slimy glop that spurts from the ruptured organ    the box for the film claims   because of the horrifying nature of the motion picture   parental discretion is advised for persons under the age of 18    contains nudity and graphic violence      while both is certainly true   there doesn t seem to be much of either in any large amounts    besides a loving close up of a spurting neck stump   a semi graphic self surgery scene   and two instances of head trauma   one run over and one melting     most of the gore is just of the spraying blood or bloody wound covered body variety    as for nudity   it is very sparse   but at least we get to see angela zimmerly   far and away the most attractive cast member   before her body is bruised   torn   and bloodied by the dragging incident    ice from the sun has been released on vhs by www   b movie   com    it has been presented in in full frame only and the transfer   for a film shot a good deal in 8mm   is pretty decent    besides the decent soundtrack   which is also available from www   b movie   com     a making of video is also available called on thin ice    i haven t had the opportunity to see the documentary   but i actually would have been interested to see what the set was like while all of the shots were being filmed   if only to see how director eric stanze   director of a similar cult film called savage harvest     conducted the atmosphere on set    
Neg,  bicentennial man  is a family film without any external motive with the exception of providing the minimum dose of entertainment    chris columbus   the director who gave you   mrs   doubtfire     plays on sentimental strings and mushy dialogue to make his point    based on the short story by isaac asimov   it is supposed to be a science fiction story about a robot who wants to be human   which as you can imagine is very difficult    starting in a not too distant future the film concentrates on a wealthy family that buys an android to help them with the house and children    soon this robot   called andrew   robin williams   shows abilities that makes his owner mr   martin   sam neill   very curious    andrew is interested in art and music   he   enjoys   making clocks   which clearly shows that he has genuine emotions    it shows out that because of a small failure in the   electrical circuits   and   positronic brain   andrew has accidentally gained a soul    this makes him unique and his evil creators worried    then mr   martin decides to teach andrew all the things he wasn t programmed to do    soon andrew wants to leave the house in pursuit of freedom   destiny and love    this film can be described as a disney version of blade runner   a film that still shines as the biggest gem in the crown of science fiction    ever since that film   the subject of humanity still stands as one big controversy    what makes us human    the thoughts    the emotions    is it possible to become human    at what point can we say to a robot   now you are one of us      these are very tough questions that require a serious and thurral approach    it is obvious that columbus didn t take them very seriously    when you think about it   this film is not really meditating on the question   when is a robot no longer a machine   but a human being       but tells a story about racial discrimination and lack of understanding    andrew is so complex and emotional from the very beginning that the audience immediately accepts him as a human being   and only the society has troubles with it    in other words   it is as far from reality as from the academy awards    further more   there are other annoying problems    to this day no serious filmmaker has dared to speculate about the future in more than 50 years from now    this has not been done for obvious reasons   because the filmmakers are well aware of the fact that they lack the knowledge and imagination to perform such a difficult task    columbus is the first to have crossed that line    the result is   as you might imagine   primitive   unrealistic and incredibly disappointing effort    the world is simply frozen in time    neither the society   fashion   culture or values have changed over 200 years    mom is still working at the kitchen   doing the dishes    when you think back to the late 17th century and then compare it to the world we live in today   you ll see a slightly bigger difference    i am not saying that everything should change    it is unlikely that the human rights will change   but it s even more unlikely that there will not be any progress in science   technology and fashion    i suppose it s possible to watch this as a some sort of bizarre fairytale   but it s really hard    robin williams is hidden behind c and speaking in a robotic way    as always he does a decent job   as does sam neill    but it doesn t really matter    it is the sentimentality and length that turns this picture into a tiresome experience    pretty much like last year s   meet joe black     this is a primitive and unresolved story which is presented with a splendor and professionalism that it doesn t deserve    great actors and a talented crew have worked hard to achieve something that will be instantly forgotten    when isaac asimov wrote this story   the future seemed far away and magical    everything seemed possible    now is the future of asimov s time   and we know that it is not as magical and perfect as it seemed a long time ago    for the same reasons that the young generation of today can not be amazed by julius verne s   20 000 leagues under the sea     so can t we accept this story as a potential reality    let us hope that next year s   a   i      will be more rewarding    
Pos, after having heard so many critics describe   return to me   as an old fashioned hollywood romance   i kept asking myself going into this movie   what exactly is an old fashioned hollywood romance    what made   return to me   old fashioned and old hollywood    was it the tunes from sinatra   etc     legendary singers the senior citizens in the film constantly harp on    was it the glamorous   sophisticated feel    the charisma of the two leads    even now i can t say that i have gotten any closer to the real answer   because i haven t see that many old fashioned hollywood romances    i don t think any of the romances i ve seen have been classified as such    which leaves me the option of vaguely agreeing with my fellow critics      return to me   was old fashioned in the sense that it reminded me of the way the younger generation perceive venerated old hollywood magic   the way i perceive cinnamon spice and apple cider    it was traditional   magical    we knew it couldn t be too daring   or have any surprising plot twists that many cynical modern romances are apt to throw in    it was a romance told with such endearing simplicity   tenderness   and love   from director bonnie hunt   that it couldn t help but sparkle with charm despite its shortcomings    the film owes a lot of what it has to bonnie hunt s direction    from the very first bird s eye view of chicago   zooming in slowly toward the insignificant bob rueland   david duchovny     accompanied by the   return to me   ballad   by whom       we can tell we re in for something sweet    the scenes between the characters are endearing   truthful   with just a hint of fantasy    real people don t act that way   real people aren t that nice    we know all this   and yet we want to believe in these folks  existence    the premise itself seems to have sprung out of a fairytale   but hunt s rooting the fairytale in common chicago folk simultaneously lends credit to the scenario and tinges everyday urban life with a hint of the ethereal    everything is ordinary  yet beautiful  in this film    >from the festive little family restaurant to grace   minnie driver   and bob s wardrobes    from the eloquent   not in a hurry to progress storyline to the dainty watercolors that grace paints    from the animal stars to the way all the characters interact on screen    the most beautiful part       return to me   has done an excellent job of assembling together a group of actors who blend in effortlessly as a family   the audience has no trouble at all believing that this rambunctious family actually does exist    we care for them   laugh with them   cry with them   we re concerned that the little boy will pick up cursing from his father    whatever hunt did   she brought out the naturalism in all of the actors    disappointingly   david alan grier s charlie   however much i like him   was the most flatly written    duchovny here does a laudable job of shaking off his fox mulder persona    with the help of his fellow co stars rarely do we see any hint of special agent fox mulder    instead we have a normal guy who when he falls in love shows more delight than fox mulder will show over the span of an entire season of   the x files      duchovny   who is excellent at understatement and self deprecation as an actor showcases his considerable comedic talent on screen    minnie driver is engaging as always as the sweet   innocent grace with nothing but a good heart to offer    though an unlikely pair   duchovny and driver gradually warm up to each other as the movie progresses    while   return to me   functions remarkably as a laugh out loud comedy   a romantic scenic tour through chicago   and a tearjerker   the story is set up so the film ends up having nowhere to develop    the entire climax of the film hinges on when and how grace is going to tell bob that she actually was the recipient of his wife s heart    we already know that there s going to be a happy ending   we feel like we spend the entire film   however enjoyably   in a straight line going towards that point    as a result bob and grace click almost too quickly  yes   i know she s supposed to have his ex wife s heart and everything  it seems too effortless    the main subject is a love story   and the family scenes i love so much unfortunately are overused and distract from the turmoil of the two main characters   whose story might not have that much meat after all      however   in the spirit of   return to me     it won t do to be too picky about how   old   hollywood tells its stories    i loved knowing that this was a labor of love for bonnie hunt    it shows    the bottom line     return to me   is nothing remarkable   and yet its sweetness   sincerity   and charm might touch your heart in ways that you hadn t imagined    
Pos, contact is a nobly intentioned but ultimately unsatisfying adaptation of carl sagan s only novel    it details the circumstances surrounding the first clear sign of intelligent life in outer space and their effects on the life of a young and idealistic radio astronomer named ellie arroway   jodie foster      we first meet ellie at a giant radio telescope in puerto rico   where she is part of the seti   search for extraterrestrial intelligence   project    her research is quickly killed   however   by her highly political david drumlin   tom skerrit     who disdains   pure research   in favor of science with   commercial applications    she goes in search of private funding and is turned down at every step until she pitches her project to a corporation run by the mysterious s   r    hadden   john hurt      then   with that money just about to finally dry up   ellie is sitting out in the desert near the very large array in new mexico when she hears over her headphones a very powerful pulsing radio signal    in the movie s most exciting and believable sequence   ellie and her coworkers determine that the signal has to be coming from the star vega    at first the signal appears to be just sequences of prime numbers   then it turns out to be a tv signal of the berlin olympics bounced back to earth from 50 years before    further decoding   with hadden s help   reveals another layer to message   containing detailed plans for a massive and complex machine    it appears that the machine is a transport that will allow one person to travel to the aliens  home world    of course   the big question becomes   who gets to ride it         right after   who s gonna pay for this thing          to boil it down   ellie gets denied the seat in the machine because she bluntly acknowledges her atheism   while drumlin gets to go because he rather insincerely professes his deep religious faith    drumlin is killed and the machine destroyed when religious fanatics bomb the launch platform   apparently to keep   godless science   from talking to god   or something like that      then hadden reappears with startling news    he has secretly constructed a second machine off the coast of japan and has reserved the ride for ellie   in whom he has taken a rather paternal interest    ellie boards the machine and is transported through some kind of wormhole to a dream like place that looks a lot like waikiki beach before they built the hotels   where she meets the aliens who take the form of her late father   david morse      when she returns home   no one believes her    she was not even gone for one second   they say   even though she remembers being gone for 18 hours    her story is officially discredited   although believed by a large segment of the public   who don t even have to know that her computer records of the trip contain nothing but static            eighteen hours worth of static      there is a lot to like about contact so i will highlight those points first    ellie arroway is a well rounded character portrayed by one of the best actresses currently working    neither the character nor the performance has the same depth as clarice starling in silence of the lambs   but that s a tough standard to meet    ellie is interesting in that she is woman defined by a strange array of father figures    her real father is an idealized movie dad who does nothing in the film but love his daughter unconditionally    drumlin comes across as a distant stepfather to whom ellie is like an irritating teenager who wants to use his toys to get into trouble    hadden obviously has affection for ellie   but in the end he seems to see her as his creation   nothing more than his favorite piece on the chess board    even palmer joss   matthew mcconaughey     ellie s love interest   takes a paternalistic interest in ellie   seeing her as a misguided person who needs protection from her own impulses    the film is technically impressive   especially in the scenes where the message is first received and during the destruction of the first machine    the part of the film dealing with the message has the best presentation of real science in a film since the andromeda strain    the film falls apart when dealing with its central theme   the dichotomy between science and religion    this is a very real debate but contact boils it down to a simplistic level that never really touches on the actual issues involved    the film presents science pretty well   until the end   so the real problem stems from it presentation of religious faith    religious people are presented as shallow caricatures    rob lowe plays a ralph reed clone named richard rank   very subtle   guys     the voice of the religious right    another religious figure is the fanatic who blows up the first machine   jake busey      the only really fleshed out religious person   palmer joss   is supposed to be a minister of some sort   but his actual faith is left pretty vague    i can t even say for certain that he was supposed to be a christian    all we know is that he dropped out of the seminary and obviously has no qualms about pre marital sex    the film drops the science ball at the very end   when ellie appears to assert that there are some things even scientists must take on faith    in a day and age when the theory of evolution is denounced by the religion right as an atheist   religious   doctrine   this is exactly the wrong message to send    in a movie dealing with issues of science and faith   the last thing you want your scientist character to do is abandon the principle of scientific skepticism    what ellie should have said was     you shouldn t believe me    not without evidence   and i don t have the evidence    i know what happened but you shouldn t take my word alone      that is the voice of science speaking    the character of david drumlin is another problem with this film    his attitudes toward pure research project seem out of place for a person in his position    also   his profession of   faith   before the selection committee is so nakedly and transparently insincere that only a pack of idiots should have fallen for it    the last big problem is with the use of real personalities in various roles    the media figures   such as bernard shaw and jay leno aren t so bad   in as much as their participation was voluntary    the use of bill clinton   however   should give anyone pause    first of all   lifting the image of a sitting head of state and inserting him into a fictional story line   thus using his words outside of the context in which they were spoken   is just plain creepy    also   using the real president places this film between 1993 and 2001   forever dating it    people watching this film in the future will say     hey   this never took place during clinton s term      this bit of unreality will jar people out of their suspension of disbelief    also   the level of technology portrayed in the film is too advanced to take place before the first decade of the next century    better to have had a fictitious president played by an actor or no president at all    the film does raise an interesting question   although it never develops it in a satisfying way    if we were picking an emissary to send to an alien culture   would an atheist be automatically disqualified just because ninety percent of the population of the world professes a belief in god   or at least some form of supernatural creator    personally   i would hope not   since religion is basically an opinion   a form of ideology    i would not want any form of ideological test for such an import task    
Neg, die hard 2 is an altogether unfortunate fiasco   inferior to the original in every respect    place the blame squarely on the shoulders of steven de souza and doug richardson   who wrote the film s pathetic screenplay    every line of dialogue reeks of either smarmy sap or forced humor    the plot is altogether implausible   the convoluted story line involves a band of terrorists who take over dulles airport and shut down the control tower   leaving a dozen planes stranded in the air waiting to land    the film has zero credibility   and all of the characters come off as cliched   cardboard cut outs    so much for the script    how about the action    well   let s put it this way   director renny harlin could learn a few things from john mctiernan   who directed the original   as well as the hunt for red october and predator  all standouts for their hair raising suspense    by contrast   harlin doesn t have a clue when it comes to choreographing action   and consequently   die hard 2 never picks up steam    die harder is impossible to take seriously even for a minute    in fact   the movie often seems deliberately campy   and it almost reaches the threshold of being so bad it s good    you do laugh   but you laugh at the film   not with it    die hard 2 should have never been cleared for takeoff    
Neg, i have a confession    even though i am a movie junkie i saw eye of the beholder and yet i still watch movies i ve never seen any of the original godzillas       note that godzilla 2000 is not a sequel to the u   s   godzilla released in 1998   it s the american release of a 1999 godzilla flick called gojira ni sen mireniamu      so   part of me was excited as i drove to the local multiplex to see godzilla 2000 the latest entry in an almost 50 year old franchise    this was a long awaited treat    i was expecting a goofy good time   complete with bad dubbing   science fair level sets and a ludicrous plot line    the last thing i expected was for the movie to be so   boring    i can only imagine what the theatre full of kids i saw this with felt    you do get all of the   so bad they re good   traits so normally associated with the franchise    but you have to sit through a snoozer plot that has the organization of a rorschach blot    it s a deal i wasn t willing to accept    hiroshi kashiwabara and waturu mimura s script crams in way too many details   and in many cases   fails to follow up on them    the maneuver is not only disconcerting   but gives the movie a permanent logy   weighty feel    godzilla starts off destroying power plants and then just stops    was it a whim    a bold political statement    i don t know    its foe   an ancient meteor that looks like prudential s logo   doesn t just fight the beast from the far east    no   it s got to have life saving powers   a plot to erase   the data   from japan   a desire to clone and the ability to become a spaceship and then some kind of tentacled space creature    there s a battle between the head of the godzilla prediction unit   takehiro murata   and a slimy government official   hiroshi abe   over the handling of godzilla   and personal issues    and then there s the plucky news photographer and blah   blah   blah    it s like watching magnolia all over again except without the good writing   keen sociological insight and aimee mann songs    what a waste    when the talking and the plot points stop hurtling at you   godzilla 2000 does the job it s entertaining and goes down easy    the action scenes are cheesy in their grandeur though a little sluggish    the dubbing is nice and awful   with murata sounding like he s in constant need of a cough drop    as for the dialogue   one line summarizes the goofiness factor     did anyone see that flying rock go by      this movie also marked the first time since the three stooges that i ve heard the word   imbecile   used in casual conversation    though the summer movie season is drying up and godzilla 2000 has its moments   i wouldn t take kids to see it    they ll probably end up asking more questions than charlie rose    
Neg, i m not sure if silvio horta wrote urban legend before or after the success of scream   but i m guessing after just because it seems he may not have had time to write a second draft    seriously   this idea  a psycho bumping off people in the style of urban legends  is a great one and i wish it could have been pulled off    the first sign of trouble comes with the painfully insipid dialogue    an example     that [car crash] must ve been awful       for  everyone involved      you can tell that the writer intended that something a little more airy was supposed to have been said   just no one figured out what    i know in slasher movies there isn t supposed to be a lot of great characterization and i myself don t mind cardboard cutouts   but please don t let the cutouts be so damn bland    one reason movies like scream   star wars and diva have become so treasured is because they feature charismatic actors playing interesting characters    aside from jared leto and joshua jackson   who aren t on the screen long enough   no one in urban legend makes the grade    alicia witt shows none of the acerbity or wit she displayed on cybill   rebecca gayheart actually looks unattractive   not to mention as dumb as a post through 3/4 of the film   and robert englund just cruises on auto pilot    good thing brad dourif is here   but wait       he s only in the movie for five minutes  and  he s just redoing his good natured stuttering character from one flew over the cuckoo s nest    which brings me to another aspect of urban legend   it s unoriginality    the film most blatantly ripped off is scream   another reason that makes me think silvio horta wrote this after craven s and williamson s great success      urban legend tries to deconstruct modern day folklore much the same way scream deconstructed slasher films   but it doesn t quite succeed    it s best stab at self reflexivity is poking fun at   that girl in the noxzeema ad     ie   rebecca gayheart   we also have another killer taunting his victim on the phone routine in urban legend and quick   what movie is this exchange of dialogue from    female protagonist   why    villain   why    why   !    congratulations to those of you who answered scream and/or urban legend    like i said   this movie could ve been great    if only silvio had worked or been allowed to work a little longer on the script    still   at least urban legend had some pretty cool death scenes and a somewhat realized whodunit angle which makes this slasher is waaaayyyyyy better than i know what you did last summer    
Pos, metro i ve seen san francisco in movies many times    there was 1994 s interview with the vampire and most recently the rock    now   yet again   san francisco is the setting for this movie    eddie murphy stars as inspector scott roper of the sfpd   he is their top hostage negotiator   and the very best at what he does    when his best friend on the force is killed by joe   michael wincott   in a terrific performance     a psychotic   demented jewel thief   roger makes it his mission to capture the guy before he strikes again    meanwhile   roper tries to rekindle a relationship with his british ex girlfriend veronica   while helping to rear a new up and comer from swat who s an expert sniper and marksman   michael rappaport      despite the obligatory cop movie scenes   does every cop/new partner movie have to start the same way      where the sgt    assigns roper a partner   roper confronts the sarge   etc     this film is still one heck of an explosive ride    a scene involving a cable car has to be seen to be believed   and boasts some amazing car stunts    eddie murphy shines in this tailor made role   and for once   his character shows depth and concern    when confronting joe in prison   you can feel the anger drip from every word    michael rappaport is basically throwaway    he serves no purpose   except to be buddy to murphy and get disabled in the final reel so that eddie can save the day    typical action escapist fare    michael wincott offers the best performance as the crazed killer and jewel thief joe    never before have i seen such a villian written like this where i could actually believe that he was serious and take him seriously    maybe i just thought that this role was different due to wincott s perfectly raspy voice    i don t know    what i do know   though   is that although metro is basically a typical action retread   it manages to cover new ground and shed new light on tired old cliches     the film is a triumph   and an entertaining one at that    it doesn t meander or trail off from its main character    an enjoyable two hours   metro is enjoyable   witty   action packed   and fun   and makes for a great action movie that s perfect for all of us that need an escape from reality    
